project,repo_url,dependency_group_id,dependency_artifact_id,old_version,new_version,java_version,failure_category,pre_update_status,post_update_status,classification,pre_exit_code,post_exit_code,breaking_commit,parent_commit,pre_log,post_log,source_json
incubator-baremaps,https://github.com/apache/incubator-baremaps.git,software.amazon.awssdk,s3,2.16.62,2.17.265,11,,ERROR,NOT_RUN,INVALID,1,,00883672d011875b46913a63c7b6328f42dd1b56,84dcddeb17ac159d94aff862dd18ed281858ea55,person1\task2_logs\incubator-baremaps_00883672_pre.log,,00883672d011875b46913a63c7b6328f42dd1b56.json
aws-encryption-sdk-java,https://github.com/aws/aws-encryption-sdk-java.git,software.amazon.awssdk,kms,2.18.38,2.20.86,11,,FAIL,FAIL,INVALID,1,1,008be66d23db70d5c667afbf79ca0119acc34903,ea0a848c1f2e3ad42f2be7d67add9b33cafa7f4f,person1\task2_logs\aws-encryption-sdk-java_008be66d_pre.log,person1\task2_logs\aws-encryption-sdk-java_008be66d_post.log,008be66d23db70d5c667afbf79ca0119acc34903.json
Jaffree,https://github.com/kokorin/Jaffree.git,com.puppycrawl.tools,checkstyle,9.2.1,10.3.2,11,,ERROR,NOT_RUN,INVALID,1,,0094836efbc73241036e82ee002d5cd8df0988c2,7688fa6ef32448e1ab061e6ba50c187c594f1447,person1\task2_logs\Jaffree_0094836e_pre.log,,0094836efbc73241036e82ee002d5cd8df0988c2.json
WorldwideChat,https://github.com/BadSkater0729/WorldwideChat.git,org.apache.maven,maven-artifact,3.9.1,3.9.4,11,,FAIL,FAIL,INVALID,1,1,009d000dcf78317c92cc9ffa5c3131b70fa103f2,b71cb765870cb5bf31d3b5beec879ee247d1007c,person1\task2_logs\WorldwideChat_009d000d_pre.log,person1\task2_logs\WorldwideChat_009d000d_post.log,009d000dcf78317c92cc9ffa5c3131b70fa103f2.json
spring-content-examples,https://github.com/paulcwarren/spring-content-examples.git,software.amazon.awssdk,netty-nio-client,2.20.92,2.20.98,11,,FAIL,FAIL,INVALID,1,1,009e1dfc4689e511226f6a6cde4712c2cc7f5d73,870cae6b7370716d857ba1df6a71f19106cd7768,person1\task2_logs\spring-content-examples_009e1dfc_pre.log,person1\task2_logs\spring-content-examples_009e1dfc_post.log,009e1dfc4689e511226f6a6cde4712c2cc7f5d73.json
javaparser,https://github.com/javaparser/javaparser.git,com.puppycrawl.tools,checkstyle,10.5.0,10.6.0,11,,ERROR,ERROR,INVALID,,,009fbc93b6bf72b10c11c170c02e8e297d954dfc,9d75f023f4af4d2aec757725b4708d60586ee7b0,,,009fbc93b6bf72b10c11c170c02e8e297d954dfc.json
google-http-java-client,https://github.com/googleapis/google-http-java-client.git,com.google.cloud,libraries-bom,25.0.0,25.1.0,11,,FAIL,FAIL,INVALID,1,1,00a68d91ed8b54c1c5af8c4cdd919d76d9d90487,941da8badf64068d11a53ac57a4ba35b2ad13490,person1\task2_logs\google-http-java-client_00a68d91_pre.log,person1\task2_logs\google-http-java-client_00a68d91_post.log,00a68d91ed8b54c1c5af8c4cdd919d76d9d90487.json
chimera,https://github.com/Pante/chimera.git,com.puppycrawl.tools,checkstyle,10.1,10.2,11,,FAIL,FAIL,INVALID,1,1,00b16bb2e78a038ad639bbd4669afd70ef7a8de6,ba0d593667aabdef17b0f6e1a5fc1702c227650c,person1\task2_logs\chimera_00b16bb2_pre.log,person1\task2_logs\chimera_00b16bb2_post.log,00b16bb2e78a038ad639bbd4669afd70ef7a8de6.json
micro-migration,https://github.com/xdev-software/micro-migration.git,com.puppycrawl.tools,checkstyle,10.6.0,10.8.1,11,,PASS,PASS,SAFE,0,0,00b6081045a0d2032f4acf644626994bc2b88a30,af1082a0afed4f22f8766c9b1d4e9b15bd90c4f6,person1\task2_logs\micro-migration_00b60810_pre.log,person1\task2_logs\micro-migration_00b60810_post.log,00b6081045a0d2032f4acf644626994bc2b88a30.json
gax-java,https://github.com/googleapis/gax-java.git,com.google.api,api-common,2.3.1,2.6.0,11,,FAIL,FAIL,INVALID,1,1,00be126ea18c28c13cf7cfbc36e74f243810e033,c2cde0871cbee25950c9763b25c5cfba8f4ebd2f,person1\task2_logs\gax-java_00be126e_pre.log,person1\task2_logs\gax-java_00be126e_post.log,00be126ea18c28c13cf7cfbc36e74f243810e033.json
jentrata-msh,https://github.com/jentrata/jentrata-msh.git,org.bouncycastle,bcprov-jdk15on,1.49,1.67,11,,FAIL,FAIL,INVALID,1,1,00cbb65cc2f0326d5d8303afc9395eef1099f947,c2e2cc26836fc09f3cfbf6641f566027a434e859,person1\task2_logs\jentrata-msh_00cbb65c_pre.log,person1\task2_logs\jentrata-msh_00cbb65c_post.log,00cbb65cc2f0326d5d8303afc9395eef1099f947.json
heroku-maven-plugin,https://github.com/heroku/heroku-maven-plugin.git,com.fasterxml.jackson.core,jackson-core,2.14.2,2.15.2,11,,ERROR,NOT_RUN,INVALID,1,,00e0f9650607768c710443adcddc2240be6008d3,5dd32a907b8e4f6ef5a9a6901d99474144211345,person1\task2_logs\heroku-maven-plugin_00e0f965_pre.log,,00e0f9650607768c710443adcddc2240be6008d3.json
plantuml-generator,https://github.com/devlauer/plantuml-generator.git,io.github.classgraph,classgraph,4.8.160,4.8.161,11,,ERROR,ERROR,INVALID,,,00f8537388b8df1a6948bbdcbd44366c5aac64c4,f618deab06acd0250472b3513fbdb248fc0b1032,,,00f8537388b8df1a6948bbdcbd44366c5aac64c4.json
gem-adapter,https://github.com/artipie/gem-adapter.git,com.amihaiemil.web,eo-yaml,5.2.3,6.0.0,11,,ERROR,ERROR,INVALID,128,,01033a67970778a013d1c8aa1b49013cbaf2d38d,,,,01033a67970778a013d1c8aa1b49013cbaf2d38d.json
eqasim-java,https://github.com/eqasim-org/eqasim-java.git,com.fasterxml.jackson.core,jackson-databind,2.10.0,2.12.6.1,11,,FAIL,FAIL,INVALID,1,1,01059575ae151a573a748c837b20785882c2ffeb,de0009afb6fb941f3f0246ab6d3ea2bf35c19b61,person1\task2_logs\eqasim-java_01059575_pre.log,person1\task2_logs\eqasim-java_01059575_post.log,01059575ae151a573a748c837b20785882c2ffeb.json
choco-solver,https://github.com/chocoteam/choco-solver.git,org.xcsp,xcsp3-tools,2.1,2.2,11,,FAIL,FAIL,INVALID,1,1,011a170121d0a7ce6a4ddbefde8fe4edb983e600,d7209ad6ba9141eb19d90da1a401908af753e2e3,person1\task2_logs\choco-solver_011a1701_pre.log,person1\task2_logs\choco-solver_011a1701_post.log,011a170121d0a7ce6a4ddbefde8fe4edb983e600.json
java-dlp,https://github.com/googleapis/java-dlp.git,com.google.cloud,google-cloud-shared-dependencies,2.8.0,2.9.0,11,,PASS,PASS,SAFE,0,0,0120be588e3aa8f865e26779f453bf5219c80356,5d9db659af87e2bc3fe8858cf9cf9d13615379a0,person1\task2_logs\java-dlp_0120be58_pre.log,person1\task2_logs\java-dlp_0120be58_post.log,0120be588e3aa8f865e26779f453bf5219c80356.json
dubbo-samples,https://github.com/apache/dubbo-samples.git,com.fasterxml.jackson.core,jackson-databind,2.9.10.8,2.12.7.1,11,,ERROR,ERROR,INVALID,,,012301785040d4e6ae6f4b2e2ecd9c1354c813a8,ff81a8489bac3e5f88c3976b1e49eca47e710093,,,012301785040d4e6ae6f4b2e2ecd9c1354c813a8.json
spring-content-examples,https://github.com/paulcwarren/spring-content-examples.git,software.amazon.awssdk,s3,2.17.290,2.20.84,11,,FAIL,FAIL,INVALID,1,1,015aea5b17e96f48a73f08f047c1cd772a83e058,0a46390a1967516170ad68be3ee67ae87883b7de,person1\task2_logs\spring-content-examples_015aea5b_pre.log,person1\task2_logs\spring-content-examples_015aea5b_post.log,015aea5b17e96f48a73f08f047c1cd772a83e058.json
maven-surefire,https://github.com/apache/maven-surefire.git,org.hamcrest,hamcrest-library,1.3,2.2,11,,ERROR,ERROR,INVALID,,,0186532924fe52ef69b8e030acca7cf566198b07,9ffd9ae9d049f1ed73db18f97dbcf47ecc319fda,,,0186532924fe52ef69b8e030acca7cf566198b07.json
nifi,https://github.com/apache/nifi.git,com.zendesk,mysql-binlog-connector-java,0.26.1,0.27.5,11,,ERROR,ERROR,INVALID,,,01a5de5df75e4b3480ec1db0da0cc06583cc3c2e,01351911067c12b550776dc0c4552b51db7a5637,,,01a5de5df75e4b3480ec1db0da0cc06583cc3c2e.json
dependency-track-maven-plugin,https://github.com/pmckeown/dependency-track-maven-plugin.git,com.google.guava,guava,31.1-jre,32.0.0-jre,11,,FAIL,FAIL,INVALID,1,1,01aab779cf90d1f563c8a765d89db7334f7454fa,8b1bb8bd2d0f258cf8f8447799121b9f7b3f24aa,person1\task2_logs\dependency-track-maven-plugin_01aab779_pre.log,person1\task2_logs\dependency-track-maven-plugin_01aab779_post.log,01aab779cf90d1f563c8a765d89db7334f7454fa.json
quarkus-platform,https://github.com/quarkusio/quarkus-platform.git,com.hazelcast,hazelcast,5.0.2,5.3.0,11,,ERROR,NOT_RUN,INVALID,1,,01ad5f05e5a25812a2653e48db0f2b72cb9de38b,8f06077f74cc4fd21f3e1c9c7184689cc70a63f0,person1\task2_logs\quarkus-platform_01ad5f05_pre.log,,01ad5f05e5a25812a2653e48db0f2b72cb9de38b.json
maestro,https://github.com/INTO-CPS-Association/maestro.git,com.fasterxml.jackson.core,jackson-databind,2.10.5.1,2.12.6.1,11,,ERROR,NOT_RUN,INVALID,1,,01b20ea4996025f81feb622c7f45eadbc79ce340,01373da76709405ec3ad9542311927bc224274ec,person1\task2_logs\maestro_01b20ea4_pre.log,,01b20ea4996025f81feb622c7f45eadbc79ce340.json
togglz,https://github.com/togglz/togglz.git,com.google.cloud,google-cloud-storage,2.19.0,2.20.2,11,,FAIL,FAIL,INVALID,1,1,01bfaddbc039fbec2815dc37f8304f5f6a7cf4e2,acc3af3c8cf847a11ab0905cb75697369567ca4f,person1\task2_logs\togglz_01bfaddb_pre.log,person1\task2_logs\togglz_01bfaddb_post.log,01bfaddbc039fbec2815dc37f8304f5f6a7cf4e2.json
linkis,https://github.com/apache/linkis.git,commons-net,commons-net,3.1,3.9.0,11,,ERROR,ERROR,INVALID,,,01e1769333542a0aa937e82e5d98c5b592035b18,64b6dac5f90b032504b874eb428b97ae66b9cb10,,,01e1769333542a0aa937e82e5d98c5b592035b18.json
janusgraph,https://github.com/JanusGraph/janusgraph.git,org.yaml,snakeyaml,1.32,2.0,11,,FAIL,FAIL,INVALID,1,1,01e602d094707abe5ded6d52b828bc50d2fa31e3,7c9c30c766e04bb8e283f4880c853cce64123132,person1\task2_logs\janusgraph_01e602d0_pre.log,person1\task2_logs\janusgraph_01e602d0_post.log,01e602d094707abe5ded6d52b828bc50d2fa31e3.json
cxf,https://github.com/apache/cxf.git,com.puppycrawl.tools,checkstyle,10.9.2,10.9.3,11,,ERROR,ERROR,INVALID,,,01f127da95fc5c712b9e0f91d8ad5efae961b196,7c9a063fc4e300e9787e19f42b86a9b7fdeda82a,,,01f127da95fc5c712b9e0f91d8ad5efae961b196.json
PGS,https://github.com/micycle1/PGS.git,it.unimi.dsi,fastutil,8.5.8,8.5.12,11,,FAIL,FAIL,INVALID,1,1,01f8b5f08e9f92acddf99e0c179b679d58cb0eee,f3ae929f4562cdeb3f5108c2d0d077061cee855f,person1\task2_logs\PGS_01f8b5f0_pre.log,person1\task2_logs\PGS_01f8b5f0_post.log,01f8b5f08e9f92acddf99e0c179b679d58cb0eee.json
commons-jcs,https://github.com/apache/commons-jcs.git,org.apache.logging.log4j,log4j-api,2.18.0,2.19.0,11,,FAIL,FAIL,INVALID,1,1,0202fb42893931eff47188b8eac561352addbbb4,6e42e783a29dde9d7337ab732081d2a25deecc1b,person1\task2_logs\commons-jcs_0202fb42_pre.log,person1\task2_logs\commons-jcs_0202fb42_post.log,0202fb42893931eff47188b8eac561352addbbb4.json
zoltar,https://github.com/spotify/zoltar.git,com.google.apis,google-api-services-storage,v1-rev20210127-1.32.1,v1-rev20220705-1.32.1,11,,FAIL,FAIL,INVALID,1,1,0212e4ae672ac29fed3f06a1ce95a8bbc2628d7a,3bc304d85d9b1185c81a1e5b3e45159bbbe4b451,person1\task2_logs\zoltar_0212e4ae_pre.log,person1\task2_logs\zoltar_0212e4ae_post.log,0212e4ae672ac29fed3f06a1ce95a8bbc2628d7a.json
password4j,https://github.com/Password4j/password4j.git,org.slf4j,slf4j-api,1.7.32,1.7.33,11,,FAIL,PASS,INVALID,1,0,021ae33cb3b0dae9544ed81656d8da282bd36fef,97e3b814f874627f1ccb44ccbb40df2221d96321,person1\task2_logs\password4j_021ae33c_pre.log,person1\task2_logs\password4j_021ae33c_post.log,021ae33cb3b0dae9544ed81656d8da282bd36fef.json
jenkinsfile-runner,https://github.com/jenkinsci/jenkinsfile-runner.git,org.jenkins-ci.modules,sshd,3.1.0,3.270.vb_a_e71e64c287,11,,FAIL,FAIL,INVALID,1,1,021cd81b2eb0e44549141a713f0dde50d045db0f,98f3b6911edacbeb7f97111bac9f83ea0785622d,person1\task2_logs\jenkinsfile-runner_021cd81b_pre.log,person1\task2_logs\jenkinsfile-runner_021cd81b_post.log,021cd81b2eb0e44549141a713f0dde50d045db0f.json
sakai,https://github.com/sakaiproject/sakai.git,org.jgroups,jgroups,3.6.13.Final,4.0.0.Final,11,,ERROR,NOT_RUN,INVALID,1,,0223d1704588d7eff467f55d0b8bf0ff24b8557b,231c1fac1ec4411cb21e82006fbf1ab3cc8d3fac,person1\task2_logs\sakai_0223d170_pre.log,,0223d1704588d7eff467f55d0b8bf0ff24b8557b.json
Java-TestNG-Appium-Selenium,https://github.com/sceiler/Java-TestNG-Appium-Selenium.git,io.netty,netty-all,4.1.90.Final,4.1.91.Final,11,,FAIL,FAIL,INVALID,1,1,0243b002550a221045e2bc05c4edcfd3510159c3,5cf3cb95589dc996310a1802d0ff14d3f2a3b7ef,person1\task2_logs\Java-TestNG-Appium-Selenium_0243b002_pre.log,person1\task2_logs\Java-TestNG-Appium-Selenium_0243b002_post.log,0243b002550a221045e2bc05c4edcfd3510159c3.json
saucerest-java,https://github.com/saucelabs/saucerest-java.git,org.mockito,mockito-inline,5.0.0,5.1.0,11,,FAIL,FAIL,INVALID,1,1,024fb60ecf33ab45ecde2a833bdbe36756a8b850,31fa0fe18827c50d4544fb2fab67a7ae47828f1f,person1\task2_logs\saucerest-java_024fb60e_pre.log,person1\task2_logs\saucerest-java_024fb60e_post.log,024fb60ecf33ab45ecde2a833bdbe36756a8b850.json
radiobrowser4j,https://github.com/sfuhrm/radiobrowser4j.git,org.glassfish.jersey.inject,jersey-hk2,3.0.11,3.1.3,11,,PASS,PASS,SAFE,0,0,02671ba1bfd8bc85a07ff430a6531d675524f736,9f0d3f96523aee8e7bfbc0e4508ab27cdc781aa8,person1\task2_logs\radiobrowser4j_02671ba1_pre.log,person1\task2_logs\radiobrowser4j_02671ba1_post.log,02671ba1bfd8bc85a07ff430a6531d675524f736.json
html2pop3,https://github.com/matteobaccan/html2pop3.git,org.jsoup,jsoup,1.15.2,1.15.3,11,,PASS,PASS,SAFE,0,0,0267d4f80619ab0e8e1b0980ac11d798f2e50da9,40c70d385f050fc9f660e37d619335e9f4481429,person1\task2_logs\html2pop3_0267d4f8_pre.log,person1\task2_logs\html2pop3_0267d4f8_post.log,0267d4f80619ab0e8e1b0980ac11d798f2e50da9.json
license-maven-plugin,https://github.com/mathieucarbou/license-maven-plugin.git,com.puppycrawl.tools,checkstyle,9.3,10.12.0,11,,ERROR,NOT_RUN,INVALID,1,,02760d53acaf5a3cfe764efac81ca4d5e45e54c0,727f797d1a5beedf03f88203b45efa313b392d25,person1\task2_logs\license-maven-plugin_02760d53_pre.log,,02760d53acaf5a3cfe764efac81ca4d5e45e54c0.json
chimera,https://github.com/Pante/chimera.git,org.checkerframework,checker-qual,3.21.0,3.21.1,11,,FAIL,FAIL,INVALID,1,1,02790c7698a9c7240f5308e26c664abe63d0d8d6,b47837bca0d19062b1f4ab72a87de8900174d686,person1\task2_logs\chimera_02790c76_pre.log,person1\task2_logs\chimera_02790c76_post.log,02790c7698a9c7240f5308e26c664abe63d0d8d6.json
chimera,https://github.com/Pante/chimera.git,com.karuslabs,utilitary,1.1.1,1.1.2,11,,FAIL,FAIL,INVALID,1,1,027fa1e89bc61eeebecbeb29a93b612a1c666186,c003e32f2fe022fb06ef92e8ea8f9d148c4154c2,person1\task2_logs\chimera_027fa1e8_pre.log,person1\task2_logs\chimera_027fa1e8_post.log,027fa1e89bc61eeebecbeb29a93b612a1c666186.json
microservices-testing-examples,https://github.com/andreschaffer/microservices-testing-examples.git,org.apache.kafka,kafka-clients,2.6.0,3.3.2,11,,FAIL,FAIL,INVALID,1,1,02844d0a16104fd1a42b931eb6f0e18801b3abc7,8dae4398c7b8cf97dcdb0c1b1d367a55c5d8acdd,person1\task2_logs\microservices-testing-examples_02844d0a_pre.log,person1\task2_logs\microservices-testing-examples_02844d0a_post.log,02844d0a16104fd1a42b931eb6f0e18801b3abc7.json
CE,https://github.com/PaladinCloud/CE.git,com.fasterxml.jackson.core,jackson-databind,2.12.6.1,2.13.4.1,11,,FAIL,FAIL,INVALID,1,1,0293a6a92c09fd525fa2b047d4901d8b00f7e5ce,b92f7f492ec006deb1599456aaf1b458986333af,person1\task2_logs\CE_0293a6a9_pre.log,person1\task2_logs\CE_0293a6a9_post.log,0293a6a92c09fd525fa2b047d4901d8b00f7e5ce.json
hudi,https://github.com/apache/hudi.git,com.h2database,h2,1.4.200,2.1.210,11,,FAIL,FAIL,INVALID,1,1,02988d11ede4d1565199bb5d89cbf8df0b80b35b,092e35c1e300f1eb1a7474136826fed26bc10ccd,person1\task2_logs\hudi_02988d11_pre.log,person1\task2_logs\hudi_02988d11_post.log,02988d11ede4d1565199bb5d89cbf8df0b80b35b.json
spring-content-examples,https://github.com/paulcwarren/spring-content-examples.git,software.amazon.awssdk,s3,2.17.290,2.19.33,11,,FAIL,FAIL,INVALID,1,1,02a3cebafceb0a2ae2a86ce31d6d7a827d2090eb,d3a354ce38984225cfd25d1cdc51a59c197b4f5b,person1\task2_logs\spring-content-examples_02a3ceba_pre.log,person1\task2_logs\spring-content-examples_02a3ceba_post.log,02a3cebafceb0a2ae2a86ce31d6d7a827d2090eb.json
license-maven-plugin,https://github.com/mathieucarbou/license-maven-plugin.git,com.puppycrawl.tools,checkstyle,9.3,10.6.0,11,,ERROR,NOT_RUN,INVALID,1,,02a3fd226c3fcf1934fabc1519b1d0660f42731c,90f804ab10d1cce5a9eac565c6052f645b44cf77,person1\task2_logs\license-maven-plugin_02a3fd22_pre.log,,02a3fd226c3fcf1934fabc1519b1d0660f42731c.json
Item-NBT-API,https://github.com/tr7zw/Item-NBT-API.git,org.javassist,javassist,3.29.1-GA,3.29.2-GA,11,,PASS,PASS,INVALID,0,0,02d3ab0b11d9b3028594f931988e2da513253e24,7263b5a12fa82f23166290b1ec98c9fc0d865c36,person1\task2_logs\Item-NBT-API_02d3ab0b_pre.log,person1\task2_logs\Item-NBT-API_02d3ab0b_post.log,02d3ab0b11d9b3028594f931988e2da513253e24.json
ApkToolBoxGUI,https://github.com/jiangxincode/ApkToolBoxGUI.git,org.apache.logging.log4j,log4j-api,2.16.0,2.17.0,11,,FAIL,FAIL,INVALID,1,1,02d65fb06955a89f460d34c1edfbd372b0d306c1,a37b09e3510e7e03c5335ed2eb2619a10db252c6,person1\task2_logs\ApkToolBoxGUI_02d65fb0_pre.log,person1\task2_logs\ApkToolBoxGUI_02d65fb0_post.log,02d65fb06955a89f460d34c1edfbd372b0d306c1.json
aws-encryption-sdk-java,https://github.com/aws/aws-encryption-sdk-java.git,com.amazonaws,aws-java-sdk,1.12.366,1.12.377,11,,FAIL,FAIL,INVALID,1,1,02e93d5bce224bff003502c10b48f5c355b323ce,07e2ed2a0c525429698f247cc880db730e745aca,person1\task2_logs\aws-encryption-sdk-java_02e93d5b_pre.log,person1\task2_logs\aws-encryption-sdk-java_02e93d5b_post.log,02e93d5bce224bff003502c10b48f5c355b323ce.json
database-rider,https://github.com/database-rider/database-rider.git,org.hibernate,hibernate-core,4.2.8.Final,5.3.20.Final,11,,FAIL,FAIL,INVALID,1,1,02eebb6c788633af9d50a2769003db4276f09610,bfeaaaf422c509e83a144c3e6c14f6a561494b89,person1\task2_logs\database-rider_02eebb6c_pre.log,person1\task2_logs\database-rider_02eebb6c_post.log,02eebb6c788633af9d50a2769003db4276f09610.json
today-infrastructure,https://github.com/TAKETODAY/today-infrastructure.git,com.google.code.gson,gson,2.8.6,2.8.9,11,,ERROR,ERROR,INVALID,,,030407219d58bd196d481e72d3cee52ea910a29a,1135c84a2f14761d4d22843050642cc286b4d37e,,,030407219d58bd196d481e72d3cee52ea910a29a.json
Jaffree,https://github.com/kokorin/Jaffree.git,com.puppycrawl.tools,checkstyle,9.2.1,10.2,11,,ERROR,NOT_RUN,INVALID,1,,0308b803a9388e6f52dbf69bf04f0a2973c890da,7688fa6ef32448e1ab061e6ba50c187c594f1447,person1\task2_logs\Jaffree_0308b803_pre.log,,0308b803a9388e6f52dbf69bf04f0a2973c890da.json
opensrp-server-web,https://github.com/opensrp/opensrp-server-web.git,org.hibernate.validator,hibernate-validator,6.0.18.Final,6.0.20.Final,11,,FAIL,FAIL,INVALID,1,1,034bdcd35e34f74c7c486dbe8e359a4d688c2375,b27d84be9c97a5db9b289c3475b67f50bd6492cf,person1\task2_logs\opensrp-server-web_034bdcd3_pre.log,person1\task2_logs\opensrp-server-web_034bdcd3_post.log,034bdcd35e34f74c7c486dbe8e359a4d688c2375.json
janusgraph,https://github.com/JanusGraph/janusgraph.git,org.apache.curator,curator-recipes,4.2.0,5.4.0,11,,FAIL,FAIL,INVALID,1,1,03751fc638e964e63c895c18bd46682124b6d6a2,e7fd0cf0b5b68441596d8b9d4d26639f765e5065,person1\task2_logs\janusgraph_03751fc6_pre.log,person1\task2_logs\janusgraph_03751fc6_post.log,03751fc638e964e63c895c18bd46682124b6d6a2.json
pay-connector,https://github.com/alphagov/pay-connector.git,com.stripe,stripe-java,21.10.0,22.17.0,11,,FAIL,FAIL,INVALID,1,1,0385955f3f64be823a7550e03dd73280cd57328a,9c58f066e81e445b9a121b1a6e66628cd95dd9bc,person1\task2_logs\pay-connector_0385955f_pre.log,person1\task2_logs\pay-connector_0385955f_post.log,0385955f3f64be823a7550e03dd73280cd57328a.json
apm-agent-java,https://github.com/elastic/apm-agent-java.git,io.micrometer,micrometer-core,1.10.6,1.11.0,11,,ERROR,ERROR,INVALID,,,0386455f419b2a7331b3cc56aae3e6f4c6d6a042,0b28e50f904c788e9cccbdec65a806dbf985fe87,,,0386455f419b2a7331b3cc56aae3e6f4c6d6a042.json
aws-encryption-sdk-java,https://github.com/aws/aws-encryption-sdk-java.git,software.amazon.awssdk,kms,2.18.38,2.20.4,11,,FAIL,FAIL,INVALID,1,1,0386ba5a2c85d035d96fbe683a27cb84cadc2e11,14667842311da250ad98a74e8143a44cda886823,person1\task2_logs\aws-encryption-sdk-java_0386ba5a_pre.log,person1\task2_logs\aws-encryption-sdk-java_0386ba5a_post.log,0386ba5a2c85d035d96fbe683a27cb84cadc2e11.json
gem-adapter,https://github.com/artipie/gem-adapter.git,com.artipie,http,v0.26.1,v1.1.0,11,,ERROR,ERROR,INVALID,128,,038b85ad5072f5fb609a90fd06c526c85a76839c,,,,038b85ad5072f5fb609a90fd06c526c85a76839c.json
