project,repo_url,dependency_group_id,dependency_artifact_id,old_version,new_version,java_version,failure_category,pre_update_status,post_update_status,classification,source_json
amazon-ecr-plugin,https://github.com/jenkinsci/amazon-ecr-plugin/pull/167,org.jenkins-ci.plugins,docker-commons,1.21,422.v9d1a_89cede51,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,17cc92fc964c1aaf486ed815c60725b6f65714d2.json
PGS,https://github.com/micycle1/PGS/pull/92,org.tinspin,tinspin-indexes,1.7.1,1.8.0,11,COMPILATION_FAILURE,FAIL,FAIL,INVALID,17f2bcaaba4805b218743f575919360c5aec5da4.json
pgpverify-maven-plugin,https://github.com/s4u/pgpverify-maven-plugin/pull/479,org.junit.jupiter,junit-jupiter-params,5.9.3,5.10.0,11,TEST_FAILURE,PASS,FAIL,BREAKING,19249139eb66616953c389242c22edde60c4ac2f.json
logging-chainsaw,https://github.com/apache/logging-chainsaw/pull/14,com.thoughtworks.xstream,xstream,1.4.17,1.4.19,11,TEST_FAILURE,PASS,FAIL,BREAKING,19e20b0d69cb6dadbc54313cb6c6e5f70670ac93.json
wicket-crudifier,https://github.com/premium-minds/wicket-crudifier/pull/93,jakarta.validation,jakarta.validation-api,2.0.2,3.0.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,1a2fb9f65e12d6c43a8472b9b035299b29a75ce8.json
dependency-lock-maven-plugin,https://github.com/vandmo/dependency-lock-maven-plugin/pull/58,org.apache.maven,maven-plugin-api,3.8.4,3.8.5,11,DEPENDENCY_LOCK_FAILURE,PASS,FAIL,BREAKING,1a771d2096b043dc34982d78494b2f14f506176a.json
license-maven-plugin,https://github.com/mathieucarbou/license-maven-plugin/pull/429,org.apache.maven.shared,maven-dependency-tree,3.1.1,3.2.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,1c0972fc3d905b9f2a305a78f8a158a0b3fd8639.json
avans,https://github.com/tokuhirom/avans/pull/88,com.fasterxml.jackson.dataformat,jackson-dataformat-cbor,2.4.0,2.13.3,11,TEST_FAILURE,PASS,FAIL,BREAKING,1c3529eaf282deb4868f4b13439170ef47db3e8c.json
github-oauth-plugin,https://github.com/jenkinsci/github-oauth-plugin/pull/169,org.jenkins-ci.plugins,github-branch-source,2.11.4,1598.v91207e9f9b_4a_,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,1d0c5406203e778b5e67534cdf72f4370fd6d301.json
plexus-compiler,https://github.com/codehaus-plexus/plexus-compiler/pull/293,org.eclipse.jdt,ecj,3.33.0,3.34.0,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,1d2946ff87dfd82f15fa51920ce2560f32e4aa26.json
webapp,https://github.com/elimu-ai/webapp/pull/1574,org.apache.logging.log4j,log4j-api,2.16.0,2.18.0,11,TEST_FAILURE,PASS,FAIL,BREAKING,1eb6d9d5b2a07720a0839457cee81e066dd932f2.json
flink-faker,https://github.com/knaufk/flink-faker/pull/52,net.datafaker,datafaker,1.3.0,1.4.0,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,1ef97ea6c5b6e34151fe6167001b69e003449f95.json
pay-cardid,https://github.com/alphagov/pay-cardid/pull/725,org.dhatim,dropwizard-sentry,2.0.22,2.0.28-8,11,TEST_FAILURE,PASS,FAIL,BREAKING,22eec990412b563439a1dfae84134b43d85d9815.json
jcabi-s3,https://github.com/jcabi/jcabi-s3/pull/210,com.jcabi,jcabi-aspects,0.24.1,0.25.1,11,COMPILATION_FAILURE,PASS,FAIL,BREAKING,24d4a90ec1b375751e71f33d18949405c9529d77.json
google-cloud-java,https://github.com/googleapis/google-cloud-java/pull/9574,com.google.cloud,google-cloud-pubsub-bom,1.123.14,1.123.15,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,27ea953051c0508f589cd9cec620b38572adb5f0.json
github-checks-plugin,https://github.com/jenkinsci/github-checks-plugin/pull/315,org.jenkins-ci.plugins,github-api,1.117,1.303-417.ve35d9dd78549,11,ENFORCER_FAILURE,PASS,FAIL,BREAKING,283c6ddc77ec4f7c52e297926cb8a6960a3f8ab6.json
